City,Population,Lat,Long
Jacksonville,971319,30.3322,81.6557
Miami,449514,25.7617,80.1918
Tampa,398173,27.9506,82.4572
Orlando,316081,28.5384,81.3789
St. Petersburg,261256,27.7676,82.6403
Port St. Lucie,231790,27.273,80.3582
Hialeah,220292,25.8576,80.2781
Cape Coral,216992,26.5629,81.9495
Tallahassee,201731,30.4383,84.2807
Fort Lauderdale,183146,26.1224,80.1373
Pembroke Pines,169876,26.0078,80.2963
Hollywood,152650,26.0112,80.1495
Gainesville,145214,29.6516,82.3248
Miramar,137228,25.9861,80.3036
Coral Springs,133369,26.2712,80.2706
Palm Bay,129234,28.0345,80.5887
Lehigh Acres,123751,26.6253,81.6248
West Palm Beach,120932,26.7153,80.0534
Lakeland,120071,28.0395,81.9498
Clearwater,117027,27.9659,82.8001
Brandon,115330,27.9378,82.2859
Spring Hill,114706,28.4832,82.537
Pompano Beach,112302,26.2379,80.1248
Miami Gardens,110497,25.942,80.2456
Davie,106513,26.0765,80.2521
Boca Raton,99009,26.3683,80.1289
Riverview,98928,27.8661,82.3265
Palm Coast,98411,29.5845,81.2079
Deltona,97267,28.9005,81.2637
Sunrise,96306,26.167,80.2566
Plantation City,96042,26.1276,80.2331
Fort Myers,95949,26.6406,81.8723
Alafaya,92080,28.5641,81.2114
Town 'n' Country,89679,28.0106,82.5773
Deerfield Beach,86772,26.3184,80.0998
Melbourne,86441,28.0836,80.6081
North Port,85099,27.0442,82.2359
Pine Hills,84289,28.5578,81.4534
Largo,82487,27.9095,82.7873
Homestead,81562,25.4687,80.4776
Boynton Beach,80859,26.5318,80.0905
Miami Beach,80017,25.7907,80.13
Kissimmee,80003,28.292,81.4076
Kendall,78007,25.666,80.3578
Daytona Beach,77958,29.2108,81.0228
Doral,76983,25.8195,80.3553
The Villages,76415,28.927,82.0038
Lauderhill,73633,26.1404,80.2134
Tamarac,71912,26.2129,80.2498
Poinciana,68922,28.1574,81.4709
Weston,67677,26.1004,80.3998
Delray Beach,67030,26.4615,80.0728
Ocala,65478,29.1872,82.1401
Wesley Chapel,65134,28.1983,82.3305
Port Orange,64870,29.1383,80.9956
